Model,MAE,MSE,RMSE,R2 (Test),CV R2 (Mean),CV R2 (Std)
Lasso Regression,0.36920267010489827,0.24210516637393908,0.49204183396733564,0.9923296070690956,0.9796336256347571,0.017642693793949848
Linear Regression,0.4124830572852032,0.3005829015693551,0.5482544131781841,0.9904769113444392,0.9877131059835005,0.0082886293908129
Ridge Regression,0.43509088955495745,0.3564488517381272,0.5970333757321505,0.9887069623769275,0.9870910404459092,0.008568346263436218
Random Forest,0.490674999999999,0.41159677499999975,0.6415580838864083,0.9869597619884459,0.9821814624468768,0.01286411061859056
Gradient Boosting,0.4812058260015368,0.4349850944050576,0.6595339979144802,0.9862187716059723,0.9821325130626761,0.01213824548010512
XGBoost,0.5430255067348483,0.45598474220818536,0.6752664231310375,0.9855534592854089,0.9844332749606682,0.008593978403379372
Decision Tree,0.733370670995671,0.9521590059102152,0.9757863525947753,0.9698336313205712,0.9713352187704268,0.01320253933845784
